Organization Name,Icon Resource Name
Raspberry Pi Trading Ltd,raspberry-pi.png
Acer Computer(Shanghai) Limited.,acer.png
Acer Inc.,acer.png
ACER TECHNOLOGIES CORP.,acer.png
Amazon Technologies Inc.,amazon.png
"Apple, Inc.",apple.png
ASUSTek COMPUTER INC.,asus.png
Belkin International Inc.,belkin.png
Belkin Corporation,belkin.png
BELKIN COMPONENTS,belkin.png
CANON INC.,canon.png
Canon Imaging Systems Inc.,canon.png
"Cisco Systems, Inc",cisco.png
D-Link Corporation,dlink.png
D-Link International,dlink.png
Dell Inc.,dell.png
"Extreme Networks, Inc.",extreme.png
"Fortinet, Inc.",fortinet.png
Fortinet Inc.,fortinet.png
"Google, Inc.",google.png
Hewlett Packard,hp.png
Hewlett Packard Enterprise,hp.png
HP Inc.,hp.png
Intel Corporate,intel.png
Liteon Technology Corporation,liteon.png
Microsoft,microsoft.png
Microsoft Corporation,microsoft.png
NATIONAL INSTRUMENTS CORP.,ni.png
"Nintendo Co.,Ltd",nintendo.png
"Nintendo Co., Ltd",nintendo.png
NVIDIA,nvidia.png
NVIDIA Corporation,nvidia.png
Plugable Technologies,plugable.png
Proxim Wireless,proximwireless.png
Qualcomm Inc.,qualcomm.png
Raspberry Pi Foundation,raspberry-pi.png
REALTEK SEMICONDUCTOR CORP.,realtek.png
Rosewill Inc.,rosewill.png
"Samsung Electronics Co.,Ltd",samsung.png
SAMSUNG ELECTRO-MECHANICS(THAILAND),samsung.png
Sony Mobile Communications Inc,sony.png
Sony Interactive Entertainment Inc.,sony.png
Sony Corporation,sony.png
Sony Computer Entertainment America,sony.png
Sony Home Entertainment&Sound Products Inc,sony.png
Sony Imaging Products & Solutions Inc.,sony.png
Sony Video & Sound Products Inc.,sony.png
SONY Visual Products Inc.,sony.png
Texas Instruments,ti.png
"TP-LINK TECHNOLOGIES CO.,LTD.",tp-link.png
"VMware, Inc.",vmware.png
WIBRAIN,hardkernel.png
"Xirrus, Inc.",xirrus.png
"Xirrus Inc.",xirrus.png
Xirrus,xirrus.png
